RegionID,SizeRank,RegionName,RegionType,StateName,Y2019,Y2020,Y2021,Y2022,Y2023
394905,341,"New Bern, NC",msa,NC,156633.4167,173005.9167,202200.5,232890.75,254781.25
394810,348,"Lumberton, NC",msa,NC,80723.25,93523.91667,118265.5,118051.0833,120375.75
394635,350,"Goldsboro, NC",msa,NC,145099.5,148504.25,172381.5,194917.5,195171.5833
395090,394,"Shelby, NC",msa,NC,121749.0833,140317.1667,155162.8333,172294.4167,188230.5
753912,398,"Pinehurst, NC",msa,NC,247467.3333,273456.5833,313885.9167,371993.4167,397781.75
395231,455,"Wilson, NC",msa,NC,129205.25,140883.9167,163366,179787.1667,176354.25
394884,484,"Mount Airy, NC",msa,NC,126543.25,137881,154464.6667,164840.3333,188746.5833
394877,491,"Morehead City, NC",msa,NC,259637.0833,280132.25,334876.5833,380279.3333,413246.3333
395027,494,"Roanoke Rapids, NC",msa,NC,101357.25,104731.9167,110393.25,115170.25,113516.25
394922,501,"North Wilkesboro, NC",msa,NC,122611.6667,158232.6667,170530.75,198191.1667,201485
394600,515,"Forest City, NC",msa,NC,142792.5833,165327.4167,182571.4167,199506.9167,195914.25
395063,522,"Sanford, NC",msa,NC,153543.5833,178212,208680.75,253241.3333,264770.5
394309,526,"Albemarle, NC",msa,NC,154322.5833,162644.5,199051.0833,224897.3333,236074.6667
753877,554,"Cullowhee, NC",msa,NC,247309.5,294447,329353.5833,366706,384952.8333
394750,568,"Kinston, NC",msa,NC,91507.66667,98132.83333,124855.4167,143843.9167,130399.5833
394402,577,"Boone, NC",msa,NC,264197.8333,297296.3333,347845.1667,382308.0833,420042.5833
394562,582,"Elizabeth City, NC",msa,NC,171310.5833,191651.4167,211559.3333,239357.0833,238884.4167
753904,661,"Marion, NC",msa,NC,145274,170670.3333,189012.25,211610.6667,243651.8333
395034,669,"Rockingham, NC",msa,NC,73964.08333,86020.5,108636.5833,118928.8333,132751.1667
394677,676,"Henderson, NC",msa,NC,102532.25,129963,150979.5,163363.5,174255.0833
394745,744,"Kill Devil Hills, NC",msa,NC,323781.4167,358847.5,454231.0833,528775.6667,552011.9167
394414,792,"Brevard, NC",msa,NC,267451.6667,300136.9167,347685.0833,369419.25,415991.8333
394585,194,"Fargo, ND",msa,ND,205961.25,218785.0833,236452.9167,258737.1667,268699.75
394390,324,"Bismarck, ND",msa,ND,241986.0833,252603,259783.6667,266954.6667,277182.4167
394938,59,"Omaha, NE",msa,NE,180329.8333,194295.25,219360.6667,242367.5,259730.8333
394796,154,"Lincoln, NE",msa,NE,178231.3333,194270,220301.4167,241835.25,260838.1667
394638,462,"Grand Island, NE",msa,NE,145324.25,154340.9167,169940.9167,197833.3333,203947.5
394737,555,"Kearney, NE",msa,NE,172463.1667,184199.6667,210937.4167,232771.3333,243150.1667
394820,131,"Manchester, NH",msa,NH,272384.3333,304364.9167,356798.9167,398917.3333,426324.0833
845164,211,"Lebanon, NH",msa,NH,200045.5,228388.0833,267609.5,304059.75,333394.6667
394493,285,"Concord, NH",msa,NH,246925.3333,269963.9167,322831,369951.5833,387966.5833
395164,142,"Trenton, NJ",msa,NJ,224290.9167,254715.0833,296055.25,307957,327698.75
394348,180,"Atlantic City, NJ",msa,NJ,181300,201310.5,237498.0833,259571,276730.1667
395193,278,"Vineland, NJ",msa,NJ,127458.25,154515.9167,177794,190434.9167,204504.5
394928,410,"Ocean City, NJ",msa,NJ,347527.5833,412571.6667,492504.6667,529808.6667,566416.6667
394312,62,"Albuquerque, NM",msa,NM,209217.1667,229238.1667,267474.4167,308914.75,327029
394773,214,"Las Cruces, NM",msa,NM,184246.25,201179.1667,235196.9167,271297.25,285022.3333
395066,284,"Santa Fe, NM",msa,NM,374371.0833,409646.9167,472841.5833,538085.25,568870.9167
394588,342,"Farmington, NM",msa,NM,192201.6667,196307.5833,207684.75,239587.5,250470.8333
394305,493,"Alamogordo, NM",msa,NM,149748.0833,172875.5833,191981,200477,213053.8333
395040,509,"Roswell, NM",msa,NM,146005.8333,161271.5833,174803.3333,186355.8333,183938.9167
394775,30,"Las Vegas, NV",msa,NV,275649.4167,294187.0833,346448.25,407825.9167,391427.4167
395019,113,"Reno, NV",msa,NV,356615.5,395235.25,466339.8333,524862.8333,510232.0833
394592,550,"Fernley, NV",msa,NV,265528.1667,286572,342654.4167,388035.25,373183.3333
394444,551,"Carson City, NV",msa,NV,323674.6667,338806.3333,408533.1667,447837.1667,436797.6667
394566,573,"Elko, NV",msa,NV,243457.4167,255545.6667,284482.25,312556.4167,311545.9167
394954,601,"Pahrump, NV",msa,NV,238370.8333,252745.5,292940,345533.3333,301602.25
394628,610,"Gardnerville Ranchos, NV",msa,NV,421775.0833,467853.5833,577330.0833,630953.75,637297.5
394913,1,"New York, NY",msa,NY,393059.6667,428158,490333.9167,525795.9167,546138.0833
394425,50,"Buffalo, NY",msa,NY,156245.9167,167826.8333,190457,210807.5,225338.1667
